## Received. Source Node = v; Sequence Number = 1
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 2
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 3
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 4
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 5
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 6
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 7
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 8
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = v; Sequence Number = 9
DestNode = u; Distance = 2.0; Neighbor = u
DestNode = w; Distance = 3.0; Neighbor = w
DestNode = x; Distance = 2.0; Neighbor = x

## Received. Source Node = w; Sequence Number = 10
DestNode = u; Distance = 5.0; Neighbor = u
DestNode = v; Distance = 3.0; Neighbor = v
DestNode = x; Distance = 3.0; Neighbor = x
DestNode = y; Distance = 1.0; Neighbor = y
DestNode = z; Distance = 5.0; Neighbor = z

## Received. Source Node = v; Sequence Number = 11
